"callsite_rva","iat_mem_rva","dll","import_name"
"0x001895BD","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00189874","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00189C1E","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00189EA0","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0018A0E2","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0018A40A","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0018A7B4","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0018AA8E","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0018AD82","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0018B026","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0018B2B7","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0018B519","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0018B79B","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0018B9AD","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0018BC20","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0018BF96","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0018C227","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0018C5D1","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0018C853","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0018CBFD","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0018CEDA","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0018D13C","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0018D3F3","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0018D68D","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0018D927","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0018DBD9","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0018DEA6","0x004301E8","KERNEL32.dll","GetProcAddress"
